"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 16 03:17:45 UTC 2024","Fri Feb 16 03:18:00 UTC 2024","14967","","18. Check Admin header","","","","1. Log in using manager login",""
"passed","Fri Feb 16 03:26:18 UTC 2024","Fri Feb 16 03:26:34 UTC 2024","15616","","20. Admin Portal - Check details","","","","1. Log in using manager login",""
"passed","Fri Feb 16 02:22:38 UTC 2024","Fri Feb 16 02:22:41 UTC 2024","3409","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","11. Scrape results from Review and navigate to Applicants",""
"passed","Fri Feb 16 02:59:08 UTC 2024","Fri Feb 16 02:59:26 UTC 2024","18266","","11. Client Portal - Administration","","","","4. Check Administration Page",""
"passed","Fri Feb 16 03:07:24 UTC 2024","Fri Feb 16 03:07:25 UTC 2024","1665","","13. Client Portal - Change Portfolio","","","","5. Check Final Review",""
"passed","Fri Feb 16 02:45:03 UTC 2024","Fri Feb 16 02:45:12 UTC 2024","9656","","6. Company Account","","","","7. Complete In Company Details",""
"passed","Fri Feb 16 02:23:41 UTC 2024","Fri Feb 16 02:23:46 UTC 2024","5459","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","13. Complete Bank Details",""
"passed","Fri Feb 16 02:59:06 UTC 2024","Fri Feb 16 02:59:08 UTC 2024","2118","","11. Client Portal - Administration","","","","2. Check Administration Page",""
"passed","Fri Feb 16 02:36:07 UTC 2024","Fri Feb 16 02:36:15 UTC 2024","7578","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
"passed","Fri Feb 16 02:45:12 UTC 2024","Fri Feb 16 02:45:15 UTC 2024","3040","","6. Company Account","","","","8. Navigate from Applicants to Final Review",""
"passed","Fri Feb 16 02:42:30 UTC 2024","Fri Feb 16 02:42:33 UTC 2024","2911","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
"passed","Fri Feb 16 03:40:29 UTC 2024","Fri Feb 16 03:40:31 UTC 2024","2172","","22. Individual Onboarding for Interactive Brokers","","","","8. Check Review Page",""
"skipped","Fri Feb 16 02:20:27 UTC 2024","Fri Feb 16 02:20:27 UTC 2024","2","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","4. Check Help Modal in Investment Choice",""
